Type	Var1	Var2	pPerm	pPearson	rPearson
Outlier:Both	biological_process	monovalent_inorganic_cation_transport	0.0	2.83515861164e-81	0.892808065735
Outlier:Both	carboxylic_acid_biosynthetic_process	chorismate_metabolic_process	0.0	7.66460777034e-116	0.948000382499
Outlier:Both	peptidoglycan_metabolic_process	translation	0.0	1.55722519789e-90	0.911893270081
Outlier:HAllA	ciliary_or_flagellar_motility	mitochondrial_translation	0.0	0.622506324233	-0.0325590868073
Outlier:HAllA	cytokinetic_process	response_to_heat	0.0	0.889053630566	0.00922841149031
Outlier:Both	NAD_metabolic_process	indole_derivative_metabolic_process	0.0	5.43173694848e-83	0.896653542396
Outlier:HAllA	locomotory_behavior	monosaccharide_transport	0.0	0.807474133586	0.0161197559722
Outlier:Both	monosaccharide_biosynthetic_process	pantothenate_metabolic_process	0.0	2.26239560714e-90	0.911591688637
Outlier:HAllA	Mo_molybdopterin_cofactor_biosynthetic_process	secretion	0.0	0.664398666522	0.0286949009818
Outlier:Both	cellular_amine_metabolic_process	cellular_carbohydrate_metabolic_process	0.0	7.30376773586e-97	0.922856874161
Outlier:Both	cell_wall_organization_or_biogenesis	ribonucleoside_metabolic_process	0.0	2.32692231528e-116	0.948553288187
Outlier:HAllA	carboxylic_acid_metabolic_process	locomotory_behavior	0.0	0.797893251422	-0.0169391523905
Outlier:Both	cellular_biogenic_amine_biosynthetic_process	organophosphate_metabolic_process	0.0	8.61667665649e-84	0.898393561908
Outlier:HAllA	carbohydrate_transport	heterocycle_catabolic_process	0.0	0.765329997747	-0.0197443257865
Outlier:None	antibiotics	vitamin_metabolic_process	0.52	0.824020835483	0.0147103052433
Outlier:Both	amino_acid_activation	ribonucleoside_metabolic_process	0.0	1.57471848442e-94	0.918990319453
Outlier:Both	folic_acid_and_derivative_biosynthetic_process	organic_acid_biosynthetic_process	0.0	2.60050147521e-107	0.937954783783
Outlier:Both	aminoglycan_metabolic_process	ribonucleoside_metabolic_process	0.0	4.39391368413e-103	0.932253169147
Outlier:HAllA	lipopolysaccharide_biosynthetic_process	response_to_biotic_stimulus	0.0	0.70521325458	0.0250216638745
Outlier:HAllA	cell_projection_organization	cellular_di___tri_valent_inorganic_cation_homeostasis	0.0	0.995957630232	-0.000335161557074
Outlier:HAllA	DNA_metabolic_process	cofactor_transport	0.0	0.739337639304	0.022008807721
Outlier:Both	gluconeogenesis	pantothenate_metabolic_process	0.0	6.6428235206e-107	0.937427793073
Outlier:None	immunosup	metal_ion_transport	0.55	0.731487208217	0.0226976940188
Outlier:HAllA	isoprenoid_biosynthetic_process	polyamine_transport	0.0	0.68474373149	-0.0268535940066
Outlier:Both	cellular_protein_complex_disassembly	nucleotide_metabolic_process	0.0	2.10712912672e-97	0.923723607685
Outlier:HAllA	RNA_modification	response_to_starvation	0.0	0.624233028986	0.032397703783
Outlier:HAllA	ATP_synthesis_coupled_electron_transport	peptidoglycan_metabolic_process	0.0	0.595704283744	-0.035089730541
Outlier:HAllA	one_carbon_metabolic_process	ubiquinone_metabolic_process	0.0	0.750104468013	0.0210678298734
Outlier:HAllA	cellular_biosynthetic_process	flagellum_organization	0.0	0.868190642033	-0.0109784076686
Outlier:HAllA	asexual_sporulation	deoxyribonucleotide_metabolic_process	0.0	0.836593206477	0.0136438412022
Outlier:HAllA	flagellum_assembly	peptidoglycan_biosynthetic_process	0.0	0.79399798058	0.0172730246825
Outlier:Both	cellular_component_macromolecule_biosynthetic_process	hexose_biosynthetic_process	0.0	1.79210723881e-88	0.907979855911
Outlier:HAllA	glutamine_family_amino_acid_catabolic_process	membrane_lipid_metabolic_process	0.0	0.754073737324	-0.0207220075847
Outlier:Both	cell_projection_assembly	flagellum_assembly	0.0	5.48314261044e-113	0.944840132691
Outlier:HAllA	heterocycle_catabolic_process	hexose_transport	0.0	0.914555637758	0.00709785113172
Outlier:Both	cell_wall_macromolecule_biosynthetic_process	ribonucleoside_metabolic_process	0.0	2.8812824938e-135	0.965116643525
Outlier:Both	DNA_metabolic_process	nucleoside_phosphate_metabolic_process	0.0	5.53911461558e-118	0.950248167457
Outlier:Both	organophosphate_metabolic_process	oxidoreduction_coenzyme_metabolic_process	0.0	6.47524271581e-98	0.924536932039
Outlier:HAllA	aromatic_compound_biosynthetic_process	locomotory_behavior	0.0	0.664347915779	0.0286995212717
Outlier:Both	gluconeogenesis	translation	0.0	3.68847208625e-106	0.93645251514
Outlier:HAllA	ileal	glutamine_family_amino_acid_catabolic_process	0.0	0.892593286347	0.00893217257249
Outlier:Both	cellular_amino_acid_biosynthetic_process	organic_acid_biosynthetic_process	0.0	7.62849586694e-213	0.992770206454
Outlier:HAllA	fat_soluble_vitamin_metabolic_process	nucleoside_monophosphate_biosynthetic_process	0.0	0.739785721196	0.0219695600799
Outlier:None	age	response_to_extracellular_stimulus	0.53	0.969002666143	0.00257068716141
Outlier:HAllA	cellular_glucan_metabolic_process	vitamin_K_metabolic_process	0.0	0.647434560069	-0.030247239795
Outlier:Both	ATP_biosynthetic_process	mitochondrion_organization	0.0	1.24075697716e-92	0.915699119166
Outlier:Both	aminoglycan_metabolic_process	macromolecule_methylation	0.0	2.10200991648e-86	0.903866350877
Outlier:Both	cellular_ketone_metabolic_process	response_to_oxidative_stress	0.0	7.65454758706e-82	0.89409772875
Outlier:HAllA	DNA_conformation_change	respiratory_electron_transport_chain	0.0	0.680772321215	0.0272113569463
